"Year","Region","NEP Name","Project Name","Habitat Type","Activity","Restoration Technique","Acres"
"2006","Region 1","Piscataqua Region Estuaries Partnership","Oyster River Fishway Repair and Maintenance Project","In-Stream","Enhancement","Fish Passage","0"
"2018","Region 1","Piscataqua Region Estuaries Partnership","Trendezza Tract","Forested Wetland","Protection","Land Acquisition","12"
"2018","Region 1","Piscataqua Region Estuaries Partnership","Bodwell Farm – North","Forest/Woodland","Protection","Easements","201"
"2018","Region 1","Piscataqua Region Estuaries Partnership","Barker's Farm Conservation Project","Forest/Woodland","Protection","Easements","88.5"
"2018","Region 1","Piscataqua Region Estuaries Partnership","Zanard Property","Forested Wetland","Protection","Land Acquisition","65"
"2018","Region 1","Piscataqua Region Estuaries Partnership","Stonehouse Forest","Forest/Woodland","Protection","Land Acquisition","1533.22"
"2018","Region 1","Piscataqua Region Estuaries Partnership","Gauthier Farm","Forest/Woodland","Protection","Easements","162.7"
"2018","Region 1","Piscataqua Region Estuaries Partnership","Barr-Lagis Property","Forest/Woodland","Protection","Easements","55.45"
"2018","Region 1","Piscataqua Region Estuaries Partnership","McGivern Trust","Forest/Woodland","Protection","Easements","38.7"
"2018","Region 1","Piscataqua Region Estuaries Partnership","Rochester #1 Amendment","Forested Wetland","Protection","Easements","133.05"
"2017","Region 1","Piscataqua Region Estuaries Partnership","Harvey's Kennard Hill Forrest","Forest/Woodland","Protection","Easements","1131"
"2017","Region 1","Piscataqua Region Estuaries Partnership","Barr Property","Riparian","Protection","Easements","55"
"2017","Region 1","Piscataqua Region Estuaries Partnership","McElheeny Porperty","Estuarine Shoreline","Protection","Easements","26"
"2017","Region 1","Piscataqua Region Estuaries Partnership","Meeker Property","Forest/Woodland","Enhancement","Easements","15"
"2017","Region 1","Piscataqua Region Estuaries Partnership","Sweetser Farm","Agriculture/Ranch Land","Protection","Easements","205"
"2015","Region 1","Piscataqua Region Estuaries Partnership","Thompson Easement 1","Forest/Woodland","Protection","Easements","202"
"2015","Region 1","Piscataqua Region Estuaries Partnership","Burley Farm","Agriculture/Ranch Land","Protection","Easements","200"
"2015","Region 1","Piscataqua Region Estuaries Partnership","Thompson Forest 2","Forest/Woodland","Protection","Easements","43"
"2015","Region 1","Piscataqua Region Estuaries Partnership","Powder Major's Farm and Forest","Forest/Woodland","Protection","Easements","227"
"2015","Region 1","Piscataqua Region Estuaries Partnership","Speltz Addition to Moose Mountain","Forest/Woodland","Protection","Easements","150"
"2015","Region 1","Piscataqua Region Estuaries Partnership","Fernald Forest","Forest/Woodland","Protection","Easements","95"
"2006","Region 1","Piscataqua Region Estuaries Partnership","Wakefield Land Conservation Project","Forest/Woodland","-","Land Acquisition","116"
"2013","Region 1","Piscataqua Region Estuaries Partnership","Union Meadows","Forest/Woodland","Protection","Land Acquisition","114.5"
"2013","Region 1","Piscataqua Region Estuaries Partnership","Connell Easement","Forest/Woodland","Protection","Easements","18.7"
"2013","Region 1","Piscataqua Region Estuaries Partnership","Lium Easement","Forest/Woodland","Protection","Easements","60"
"2013","Region 1","Piscataqua Region Estuaries Partnership","Deerfield Town Forest Easement","Forest/Woodland","Protection","Easements","505"
"2012","Region 1","Piscataqua Region Estuaries Partnership","Whittum Conservation Project","Forested Wetland","Protection","Easements","97"
"2008","Region 1","Piscataqua Region Estuaries Partnership","Restoration of oyster (Crassostrea virginica) habitat for multiple estuarine species benefits","Shell Bottom","Reestablishment","Reef Construction - Natural Materials","1.75"
"2010","Region 1","Piscataqua Region Estuaries Partnership","Pike Conservation Easement","Forest/Woodland","Protection","Land Acquisition","41"
"2010","Region 1","Piscataqua Region Estuaries Partnership","Ayer Conservation Easement","Forest/Woodland","Protection","Land Acquisition","18"
"2010","Region 1","Piscataqua Region Estuaries Partnership","P. Brown Easement","Forest/Woodland","Protection","Land Acquisition","11"
"2010","Region 1","Piscataqua Region Estuaries Partnership","Danville Town Forest","Forest/Woodland","Protection","Land Acquisition","476"
"2010","Region 1","Piscataqua Region Estuaries Partnership","Scamman Easement","Agriculture/Ranch Land","Protection","Land Acquisition","207"
"2010","Region 1","Piscataqua Region Estuaries Partnership","Minton Land Purchase","Forest/Woodland","Protection","Land Acquisition","138"
"2012","Region 1","Piscataqua Region Estuaries Partnership","Shorey's Brook","In-Stream","Reestablishment","Dam Modification/Removal","0"
"2012","Region 1","Piscataqua Region Estuaries Partnership","Beaver Dam Heath","Freshwater Marsh","Protection","Land Acquisition","28"
"2012","Region 1","Piscataqua Region Estuaries Partnership","Smith Acquisition","Forest/Woodland","Protection","Land Acquisition","76"
"2012","Region 1","Piscataqua Region Estuaries Partnership","McGarry Conservation Project","Forested Wetland","Protection","Easements","55"
"2014","Region 1","Piscataqua Region Estuaries Partnership","Daughtery Conservation Project","Forest/Woodland","Protection","Easements","56"
"2014","Region 1","Piscataqua Region Estuaries Partnership","Thompson Easement","Forest/Woodland","Protection","Easements","202"
"2014","Region 1","Piscataqua Region Estuaries Partnership","Adsit Conservation project","Forest/Woodland","Protection","Easements","60"
"2011","Region 1","Piscataqua Region Estuaries Partnership","Harbor Street Tract","Forest/Woodland","Protection","Land Acquisition","159"
"2011","Region 1","Piscataqua Region Estuaries Partnership","Talley Easement","Forested Wetland","Protection","Easements","15"
"2011","Region 1","Piscataqua Region Estuaries Partnership","Goss Farm Restoration","Riparian","Rehabilitation","Invasives Control/Removal - Vegetation","2"
"2011","Region 1","Piscataqua Region Estuaries Partnership","Evans Mountain","Forest/Woodland","Protection","Land Acquisition","1015"
"2011","Region 1","Piscataqua Region Estuaries Partnership","Porter Easement","Forest/Woodland","Protection","Land Acquisition","72"
"2011","Region 1","Piscataqua Region Estuaries Partnership","Lamprey River Oyster Reef","Shell Bottom","Establishment","Reef Construction - Natural Materials","2"
"2010","Region 1","Piscataqua Region Estuaries Partnership","Stonehouse Pond","Forest/Woodland","Protection","Land Acquisition","241"
"2010","Region 1","Piscataqua Region Estuaries Partnership","Tucker Forest","Forest/Woodland","Protection","Land Acquisition","200"
"2010","Region 1","Piscataqua Region Estuaries Partnership","Scoutland Conservation Easement","Forest/Woodland","Protection","Land Acquisition","88"
"2012","Region 1","Piscataqua Region Estuaries Partnership","North Mill Pond Marsh Restoration","Tidal Wetland","Reestablishment","Planting",".05"
"2008","Region 1","Piscataqua Region Estuaries Partnership","Poesse-Bertram (Brentwood) Land Protection Project","Forest/Woodland","-","Easements","51"
"2008","Region 1","Piscataqua Region Estuaries Partnership","Minton Property (Sandown) Land Protection Project","Forest/Woodland","-","Land Acquisition","138"
"2008","Region 1","Piscataqua Region Estuaries Partnership","Awcomin and Massacre Marsh (Rye) Land Protection Project","Tidal Wetland","-","Land Acquisition","72"
"2008","Region 1","Piscataqua Region Estuaries Partnership","North Kingston Town Forest (Kingston) Land Protection Project","Forest/Woodland","-","Land Acquisition","31"
"2008","Region 1","Piscataqua Region Estuaries Partnership","Powers (Brentwood) Land Protection Project","Forest/Woodland","-","Easements","40"
"2008","Region 1","Piscataqua Region Estuaries Partnership","Burrows (Durham) Land Protection Project","Forest/Woodland","-","Easements","28"
"2011","Region 1","Piscataqua Region Estuaries Partnership","Oyster River Oyster Reef","Shell Bottom","Establishment","Reef Construction - Natural Materials","1"
"2009","Region 1","Piscataqua Region Estuaries Partnership","2008 Land Protection Transaction Grants Program (Deerfield Road Town Forest - Candia, NH)","Forest/Woodland","-","Easements","82"
"2011","Region 1","Piscataqua Region Estuaries Partnership","Zaeder/Thayer easement","Forest/Woodland","Protection","Easements","35"
"2011","Region 1","Piscataqua Region Estuaries Partnership","Arnold Property","Forest/Woodland","Protection","Land Acquisition","170"
"2011","Region 1","Piscataqua Region Estuaries Partnership","Goss Farm","Agriculture/Ranch Land","Protection","Easements","9"
"2011","Region 1","Piscataqua Region Estuaries Partnership","Stuart Farm Marsh","Tidal Wetland","Enhancement","Culvert Modification (including installation and replacement)","12"
"2009","Region 1","Piscataqua Region Estuaries Partnership","2008 Land Protection Transaction Grants Program (Cole - Kensington, NH)","Forest/Woodland","-","Easements","41"
"2009","Region 1","Piscataqua Region Estuaries Partnership","Isinglass River Conservation Corridor Project","Forest/Woodland","-","Land Acquisition","868"
"2009","Region 1","Piscataqua Region Estuaries Partnership","2008 Land Protection Transaction Grants Program (Freese - Deerfield, NH)","Forest/Woodland","-","Land Acquisition","175"
"2009","Region 1","Piscataqua Region Estuaries Partnership","2008 Land Protection Transaction Grants Program (Bond - Raymond, NH)","Forest/Woodland","-","Land Acquisition","58"
"2009","Region 1","Piscataqua Region Estuaries Partnership","2008 Land Protection Transaction Grants Program (Pernokas - Epping, NH)","Forest/Woodland","-","Land Acquisition","34"
"2009","Region 1","Piscataqua Region Estuaries Partnership","2008 Land Protection Transaction Grants Program (Misty Meadows - Lee, NH)","Forest/Woodland","-","Easements","62"
"2009","Region 1","Piscataqua Region Estuaries Partnership","2008 Land Protection Transaction Grants Program (Kelsey - Lee, NH)","Forest/Woodland","-","Easements","34"
"2009","Region 1","Piscataqua Region Estuaries Partnership","2008 Land Protection Transaction Grants Program (Old Mill Reserve - Lee, NH)","Forest/Woodland","-","Land Acquisition","43"
"2009","Region 1","Piscataqua Region Estuaries Partnership","2008 Land Protection Transaction Grants Program (Charlotte Kimball - Nottingham, NH)","Forest/Woodland","-","Easements","22"
"2009","Region 1","Piscataqua Region Estuaries Partnership","2008 Land Protection Transaction Grants Program (Kimball - Kensington, NH)","Forest/Woodland","-","Easements","148"
"2009","Region 1","Piscataqua Region Estuaries Partnership","2008 Land Protection Transaction Grants Program (Robinson Hill - Raymond, NH)","Forest/Woodland","-","Land Acquisition","57"
